side,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pts,cum_pnl_pts
short,2023-01-04 01:00:00+00:00,16701.63,2023-01-04 03:00:00+00:00,16797.584285714285,stop,-95.9542857142842,-95.9542857142842
long,2023-01-04 06:00:00+00:00,16878.87,2023-01-04 15:00:00+00:00,16786.59857142857,stop,-92.27142857142826,-188.22571428571246
short,2023-01-06 01:00:00+00:00,16827.45,2023-01-06 09:00:00+00:00,16800.128571428573,trail_stop,27.321428571427532,-160.90428571428492
long,2023-01-07 00:00:00+00:00,16978.15,2023-01-08 15:00:00+00:00,16992.827714285715,trail_stop,14.677714285713591,-146.22657142857133
short,2023-01-18 18:00:00+00:00,20936.37,2023-01-19 06:00:00+00:00,20806.27342857143,trail_stop,130.09657142857031,-16.13000000000102
long,2023-01-20 07:00:00+00:00,20958.43,2023-01-20 12:00:00+00:00,21005.726,trail_stop,47.29599999999846,31.16599999999744
short,2023-01-22 22:00:00+00:00,22676.48,2023-01-23 14:00:00+00:00,23070.261428571426,stop,-393.78142857142666,-362.6154285714292
long,2023-01-23 21:00:00+00:00,22996.82,2023-01-24 09:00:00+00:00,22997.01057142857,trail_stop,0.19057142857127474,-362.42485714285795
short,2023-01-25 02:00:00+00:00,22550.24,2023-01-25 15:00:00+00:00,22491.708857142858,trail_stop,58.531142857144005,-303.89371428571394
long,2023-01-26 04:00:00+00:00,23178.7,2023-01-27 01:00:00+00:00,22611.508571428574,stop,-567.1914285714265,-871.0851428571405
short,2023-01-27 13:00:00+00:00,22900.53,2023-01-27 17:00:00+00:00,23218.87,stop,-318.34000000000015,-1189.4251428571406
long,2023-01-27 23:00:00+00:00,23074.16,2023-01-28 10:00:00+00:00,23078.127714285714,trail_stop,3.9677142857144645,-1185.4574285714261
short,2023-01-28 23:00:00+00:00,23021.4,2023-01-29 01:00:00+00:00,23152.34142857143,stop,-130.94142857143015,-1316.3988571428563
long,2023-01-29 01:00:00+00:00,23231.22,2023-01-29 10:00:00+00:00,23341.673714285713,trail_stop,110.45371428571161,-1205.9451428571447
short,2023-01-30 20:00:00+00:00,22697.83,2023-01-31 05:00:00+00:00,22696.872857142855,trail_stop,0.9571428571471188,-1204.9879999999976
long,2023-02-01 05:00:00+00:00,23118.68,2023-02-01 19:00:00+00:00,23302.95857142857,trail_stop,184.278571428571,-1020.7094285714265
short,2023-02-03 12:00:00+00:00,23524.2,2023-02-03 13:00:00+00:00,23377.88342857143,trail_stop,146.31657142857148,-874.3928571428551
long,2023-02-07 17:00:00+00:00,23282.92,2023-02-07 18:00:00+00:00,23047.64571428571,stop,-235.27428571428754,-1109.6671428571426
short,2023-02-09 01:00:00+00:00,22948.13,2023-02-09 03:00:00+00:00,22615.182285714287,trail_stop,332.947714285714,-776.7194285714286
long,2023-02-12 03:00:00+00:00,21781.38,2023-02-12 09:00:00+00:00,21872.565428571426,trail_stop,91.18542857142529,-685.5340000000033
short,2023-02-13 12:00:00+00:00,21658.15,2023-02-13 16:00:00+00:00,21584.34742857143,trail_stop,73.80257142857226,-611.731428571431
long,2023-02-14 15:00:00+00:00,22040.52,2023-02-15 04:00:00+00:00,22122.431714285714,trail_stop,81.91171428571397,-529.819714285717
short,2023-02-17 12:00:00+00:00,23870.38,2023-02-17 16:00:00+00:00,24286.611428571432,stop,-416.231428571431,-946.0511428571481
long,2023-02-18 05:00:00+00:00,24641.8,2023-02-18 18:00:00+00:00,24729.059714285715,trail_stop,87.25971428571575,-858.7914285714323
short,2023-02-19 23:00:00+00:00,24272.51,2023-02-20 01:00:00+00:00,24137.12542857143,trail_stop,135.38457142856714,-723.4068571428652
